Block,Lot,Address,Sale_Price,Assessed_Value,Ratio,Implied_Overpayment,Annual_Tax_Savings,Sale_Date,Owner_Name
00047,00005,WILSON AVENUE,222800,383500,1.7212746858168761,127280.00000000003,2800.1600000000003,050625,
07702,00019,SUMMIT COURT,514500,681400,1.3243926141885325,89725.0,1973.9499999999998,050625,
00027,00035,3 MAIN STREET,290600,409100,1.4077770130763936,74910.0,1648.02,050625,
00040,00005,SANFORD STREET,415200,538100,1.2960019267822736,60620.00000000006,1333.6400000000012,042225,
00047,00019,WOOD AVENUE,350200,463200,1.3226727584237579,60470.00000000006,1330.3400000000013,050625,
00072,00026,3 DAUM ROAD,460200,582100,1.2648848326814428,52870.0,1163.1399999999999,032825,
01806,00032,ALEXANDRIA DRIVE,653800,799500,1.2228510247782196,47630.0,1047.86,050625,
01702,00141,6 TAYLORS MILLS ROAD,661200,801800,1.2126436781609196,41420.00000000012,911.2400000000025,050625,
01710,00018,SCOTT LANE            FRAMINGHAM,681100,819200,1.2027602407869622,35935.00000000012,790.5700000000026,080825,
02904,00132,HILL COURT,436500,531900,1.2185567010309277,29925.00000000006,658.3500000000013,050625,
01506,00001,4 TAYLORS MILLS ROAD,708800,843100,1.1894751693002257,27980.000000000116,615.5600000000026,000000,
02501,00056,2 ADAMS COURT,699000,828300,1.1849785407725322,24450.000000000116,537.9000000000025,050625,
02008,00033,HEARTHSTONE DRIVE,595300,708500,1.1901562237527297,23905.0,525.91,032425,
01105,00009,KENSINGTON DRIVE,642900,755200,1.1746772437393063,15865.0,349.03,050625,
02906,00003,PARKVIEW WAY,383100,454800,1.187157400156617,14235.000000000058,313.17000000000127,050625,
00707,00014,WILLOW GROVE WAY,563300,657100,1.166518728918871,9305.0,204.70999999999998,121624,
01411,00001,ANNAPOLIS DRIVE,649900,755500,1.162486536390214,8115.0,178.53,082525,
01302,00018,0 PINE BROOK ROAD,380500,445000,1.1695137976346912,7425.000000000058,163.35000000000127,121624,
06506,00004,6 N PARSONAGE WAY      EMILION,984400,1138400,1.1564404713531085,6340.0,139.48,050625,
00906,00040,LONGSTREET ROAD,713500,822800,1.1531885073580939,2275.0000000001164,50.050000000002555,061825,
