Block,Lot,Address,Sale_Price,Assessed_Value,Ratio,Implied_Overpayment,Annual_Tax_Savings,Sale_Date,Owner_Name
00218,00026,2 ASBURY RD.,649300,953100,1.4678884953026337,206405.0,4540.91,043025,
00093,00005,CLAIRE CIRCLE         BI LEVEL,439000,633000,1.4419134396355353,128150.00000000006,2819.300000000001,060425,
00212,00005,WILLOW AVENUE          RANCH,302000,467400,1.547682119205298,120100.0,2642.2,120324,
00086,00009,ROBERT AVENUE          RANCH,453200,613900,1.3545895851721095,92720.00000000006,2039.840000000001,122724,
00110,00124,FREEWOOD STREET       RANCH,304300,396600,1.3033190930003287,46655.0,1026.4099999999999,120324,
00152,00002,8 CASINO DRIVE,527600,651500,1.2348369977255496,44760.0,984.7199999999999,121124,
00029,00011,LAUREL PLACE,366100,451500,1.2332695984703632,30485.00000000006,670.6700000000012,050625,
00177,00094,MERRICK ROAD,407300,495900,1.2175300761109746,27505.00000000006,605.1100000000013,050625,
00046,00040,7 LAKEWOOD FARMINGDALE 1SBF,281100,349900,1.2447527570259693,26635.0,585.9699999999999,121124,
00130,00019,6 WHITE STREET         1SBF,273900,337800,1.2332968236582695,22815.0,501.92999999999995,050625,
00234,00009,0 LEWIS STREET,274400,336600,1.2266763848396502,21040.0,462.88,021325,
00092,00005,ADDISON ROAD          RANCH,446900,533500,1.1937793689863505,19565.00000000006,430.43000000000126,122724,
00160,00002,KENMORE ROAD          RANCH,416800,492700,1.182101727447217,13380.000000000058,294.36000000000126,121124,
00090,00010,1 ALDRICH ROAD         RANCH,434200,508100,1.1701980654076463,8770.000000000058,192.94000000000128,050625,
00058,00014,CREST DRIVE           RANCH,340700,400100,1.1743469327854417,8295.000000000058,182.49000000000126,122724,
00137,00012,08 US HIGHWAY 9        1S&B FR,216200,256500,1.1864014801110083,7870.000000000029,173.14000000000064,121224,
00168,00012,8 HWY 33               1.5SBFR,327800,382300,1.1662599145820622,5330.000000000058,117.26000000000127,050625,
00156,00024,1 SQUANKUM YELLOWBROOK 1.5S STFRB,578500,669300,1.1569576490924804,4025.0,88.55,021425,
00042,00064,0 EASY STREET,655600,755600,1.1525320317266625,1660.0000000001164,36.52000000000256,050625,
