Block,Lot,Address,Sale_Price,Assessed_Value,Ratio,Implied_Overpayment,Annual_Tax_Savings,Sale_Date,Owner_Name
00937,00025,7 LINCOLN ST           1SF,716000,1279500,1.7870111731843576,456100.0000000001,10034.200000000003,022725,
00415,00002,CENTER AVE            1SF1G,279900,601300,2.148267238299393,279415.0,6147.129999999999,050125,
00216,00018,5 HARMONY RD           1SF1G,422700,723500,1.711615803170097,237395.00000000006,5222.690000000001,050125,
00843,00004,CRANE CT              1SF2G,593000,862100,1.4537942664418213,180150.0,3963.2999999999997,050125,
00437,00011,TIENSCH AVE           2SF1G,411900,643700,1.5627579509589706,170015.00000000006,3740.330000000001,022725,
01112,00025,ROSE ST               1SF2G,577800,829500,1.4356178608515058,165030.0,3630.66,050125,
00383,00002,HAMILTON AVE          1.5SF1G,388500,606600,1.5613899613899613,159825.00000000006,3516.150000000001,090325,
00526,00005,5 DOGWOOD TERR         1SF1G1OB,436400,637200,1.46012832263978,135340.00000000006,2977.480000000001,040325,
00984,00082,FOUR WINDS DR         2SF2G,615200,837300,1.3610208062418725,129820.0,2856.04,062625,
00984,00082,FOUR WINDS DR         2SF2G,615200,837300,1.3610208062418725,129820.0,2856.04,050625,
01010,00026,7 LEXINGTON CT         NAVESINK 11,284100,448000,1.5769095388947554,121285.0,2668.27,050125,
00967,00017,DAVID TERR            1SF1G,559500,762800,1.363360142984808,119375.0,2626.25,050125,
00089,00002,LORRAINE PL           1SF,417800,595000,1.4241263762565821,114530.00000000006,2519.660000000001,050125,
00754,00007,ONTARIO AVE           1SF1G,429800,599400,1.3946021405304794,105130.00000000006,2312.860000000001,050625,
00551,00002,ALBON CT               1SF2G,496400,673100,1.3559629331184528,102240.0,2249.2799999999997,050625,
00551,00002,ALBON CT               1SF2G,496400,673100,1.3559629331184528,102240.0,2249.2799999999997,030625,
01010,00227,RUTLAND CT             NAVESINK 1,279200,422100,1.5118194842406876,101020.0,2222.44,050125,
00596,00132,2 MIDDLEWOOD RD,358900,509400,1.4193368626358318,96665.00000000006,2126.630000000001,050625,
01020,00072,6 W FRONT ST           1SF1G,615000,801900,1.3039024390243903,94650.0,2082.2999999999997,090425,
01056,00018,EMORY DR              1SF1G,534000,708600,1.3269662921348315,94500.0,2079.0,050625,
00649,00012,9 PARK AVE             1SF,577300,752800,1.3040013857613026,88905.0,1955.9099999999999,050625,
00534,00006,7 MAIN ST              1.5SF2G,345900,484800,1.401561144839549,87015.00000000006,1914.330000000001,040325,
00985,00026,DALE RD               1SF2G,704800,895200,1.2701475595913734,84680.00000000012,1862.9600000000025,040725,
00747,00007,7 NAVESINK AVE         2SF2G,522000,682800,1.3080459770114943,82500.0,1815.0,050625,
00192,00012,7 MAXUM CT,500600,658100,1.3146224530563324,82410.0,1813.02,050625,
00193,00041,4 PALMER AVE           1SS1G,477000,624100,1.3083857442348008,75550.0,1662.1,050625,
